0,1,2,3
Home team,Score,Away team,Date
Aston Villa,1–0,Manchester United,28-10-1992
Blackburn Rovers,2–0,Norwich City,28-10-1992
Bury,0–2,Queens Park Rangers,27-10-1992
Chelsea,2–1,Newcastle United,28-10-1992
Crewe Alexandra,0–1,Nottingham Forest,28-10-1992
Derby County,1–1,Arsenal,28-10-1992
Everton,0–0,Wimbledon,28-10-1992
Manchester City,0–1,Tottenham Hotspur,28-10-1992
Notts County,2–3,Cambridge United,27-10-1992
Plymouth Argyle,3–3,Scarborough,27-10-1992
Portsmouth,0–1,Ipswich Town,27-10-1992
Sheffield United,0–0,Liverpool,28-10-1992
Sheffield Wednesday,7–1,Leicester City,27-10-1992
Southampton,0–2,Crystal Palace,28-10-1992
Swindon Town,0–1,Oldham Athletic,27-10-1992
Watford,2–1,Leeds United,10-11-1992
