0,1,2,3
Season,Division,Place,Notes
2000-01,A1 Ethniki,9th,
2001-02,A1 Ethniki,7th,
2002-03,A1 Ethniki,7th,
2003-04,A1 Ethniki,11th,Relegated to A2
2004-05,A2 Ethniki,1st,Promoted to A1
2005-06,A1 Ethniki,5th,
2006-07,A1 Ethniki,5th,
2007-08,A1 Ethniki,4th,
2008-09,A1 Ethniki,1st,
2009-10,A1 Ethniki,1st,
2010-11,A1 Ethniki,2nd,
2011-12,A1 Ethniki,3rd,Winner Greek Cup
2012-13,A1 Ethniki,4th,Finalist Greek Cup
2013-14,A1 Ethniki,5th,
2014-15,A1 Ethniki,1st,Winner Greek Cup
2015-16,A1 Ethniki,3rd,
