0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27
1992-93 NBA Records,1992-93 NBA Records,1992-93 NBA Records,1992-93 NBA Records,1992-93 NBA Records,1992-93 NBA Records,1992-93 NBA Records,1992-93 NBA Records,1992-93 NBA Records,1992-93 NBA Records,1992-93 NBA Records,1992-93 NBA Records,1992-93 NBA Records,1992-93 NBA Records,1992-93 NBA Records,1992-93 NBA Records,1992-93 NBA Records,1992-93 NBA Records,1992-93 NBA Records,1992-93 NBA Records,1992-93 NBA Records,1992-93 NBA Records,1992-93 NBA Records,1992-93 NBA Records,1992-93 NBA Records,1992-93 NBA Records,1992-93 NBA Records,1992-93 NBA Records
Team,ATL,BOS,CHA,CHI,CLE,DAL,DEN,DET,GSW,HOU,IND,LAC,LAL,MIA,MIL,MIN,NJN,NYK,ORL,PHI,PHO,POR,SAC,SAS,SEA,UTA,WAS
Golden State,0–2,0–2,0–2,0–2,0–2,4–0,1–3,2–0,—,2–2,0–2,2–3,1–4,2–0,1–1,3–1,1–1,0–2,1–1,1–1,1–4,0–5,4–1,3–1,1–4,3–1,1–1
Houston,1–1,1–1,2–0,2–0,1–1,4–1,3–2,1–1,2–2,—,2–0,4–0,3–1,2–0,1–1,4–2,1–1,1–1,1–1,2–0,2–2,1–3,4–0,4–1,1–3,4–1,1–1
Indiana,2–2,2–2,5–0,0–5,0–4,1–1,1–1,2–3,2–0,0–2,—,1–1,1–1,2–2,2–3,1–1,3–1,1–3,2–2,3–1,1–1,1–1,2–0,1–1,2–0,0–2,3–1
L.A. Clippers,1–1,1–1,1–1,0–2,1–1,4–0,2–2,1–1,3–2,0–4,1–1,—,3–2,0–2,2–0,4–0,0–2,2–0,1–1,1–1,3–2,2–3,3–2,0–4,1–4,2–2,2–0
L.A. Lakers,1–1,1–1,1–1,2–0,0–2,3–1,3–1,1–1,4–1,1–3,1–1,2–3,—,0–2,1–1,3–1,0–2,0–2,1–1,2–0,0–5,3–2,3–2,2–2,1–4,1–3,2–0
Miami,1–3,1–3,2–2,1–3,2–2,2–0,2–0,3–1,0–2,0–2,2–2,2–0,2–0,—,2–2,2–0,2–3,0–5,3–2,1–3,0–2,1–1,1–1,1–1,1–1,0–2,2–3
Milwaukee,2–3,2–2,1–3,1–4,1–4,2–0,1–1,2–2,1–1,1–1,3–2,0–2,1–1,2–2,—,1–1,0–4,1–3,2–2,2–2,0–2,0–2,1–1,0–2,0–2,0–2,1–3
Minnesota,0–2,0–2,0–2,0–2,0–2,4–1,2–3,1–1,1–3,2–4,1–1,0–4,1–3,0–2,1–1,—,1–1,0–2,0–2,0–2,0–4,1–3,1–3,1–4,0–4,1–4,1–1
New Jersey,3–1,0–4,2–2,0–4,2–2,2–0,1–1,1–3,1–1,1–1,1–3,2–0,2–0,3–2,4–0,1–1,—,1–3,3–2,3–2,1–1,0–2,2–0,1–1,1–1,1–1,4–1
New York,2–2,4–1,3–1,3–1,3–1,2–0,1–1,2–2,2–0,1–1,3–1,0–2,2–0,5–0,3–1,2–0,3–1,—,2–2,5–0,1–1,1–1,2–0,2–0,1–1,1–1,4–1
Orlando,3–1,2–3,1–3,1–3,2–2,1–1,2–0,1–3,1–1,1–1,2–2,1–1,1–1,2–3,2–2,2–0,2–3,2–2,—,3–2,0–2,2–0,2–0,0–2,0–2,1–1,4–0
Philadelphia,1–3,1–4,0–4,2–2,0–4,1–1,1–1,1–3,1–1,0–2,1–3,1–1,0–2,3–1,2–2,2–0,2–3,0–5,2–3,—,0–2,0–2,1–1,0–2,1–1,0–2,3–1
Phoenix,2–0,2–0,2–0,1–1,0–2,4–0,3–1,2–0,4–1,2–2,1–1,2–3,5–0,2–0,2–0,4–0,1–1,1–1,2–0,2–0,—,3–2,5–0,3–1,2–3,3–1,2–0
Portland,1–1,0–2,1–1,0–2,2–0,4–0,3–1,1–1,5–0,3–1,1–1,3–2,2–3,1–1,2–0,3–1,2–0,1–1,0–2,2–0,2–3,—,5–0,2–2,2–3,2–2,1–1
Sacramento,1–1,1–1,0–2,0–2,1–1,4–0,1–3,0–2,1–4,0–4,0–2,2–3,2–3,1–1,1–1,3–1,0–2,0–2,0–2,1–1,0–5,0–5,—,2–2,1–4,2–2,1–1
San Antonio,0–2,1–1,1–1,2–0,1–1,5–0,4–1,2–0,1–3,1–4,1–1,4–0,2–2,1–1,2–0,4–1,1–1,0–2,2–0,2–0,1–3,2–2,2–2,—,3–1,3–3,1–1
Seattle,1–1,2–0,1–1,0–2,1–1,3–1,3–1,2–0,4–1,3–1,0–2,4–1,4–1,1–1,2–0,4–0,1–1,1–1,2–0,1–1,3–2,3–2,4–1,1–3,—,2–2,2–0
Utah,0–2,2–0,1–1,0–2,1–1,5–0,3–2,2–0,1–3,1–4,2–0,2–2,3–1,2–0,2–0,4–1,1–1,1–1,1–1,2–0,1–3,2–2,2–2,3–3,2–2,—,1–1
Washington,2–2,1–4,0–4,0–4,1–3,1–1,0–2,0–4,1–1,1–1,1–3,0–2,0–2,3–2,3–1,1–1,1–4,1–4,0–4,1–3,0–2,1–1,1–1,1–1,0–2,1–1,—
