0,1,2,3
Country,Score,Country,Score
American Virgin Islands,18,Israel,25
Aruba,19,Italy,19
Australia,31,Jamaica,19
Austria,27,Japan,19
Bahamas,18,Kenya,20
Barbados,22,Korea,20
Belgium,23,Lebanon,18
Bermuda,18,Malaysia,18
Bolivia,20,Malta,20
Brazil,34,Mexico,19
Canada,33,New Zealand,21
Cayman Islands,20,Nigeria,18
Chile,22,Norway,25
Colombia,28,Panama,20
Costa Rica,18,Paraguay,19
Curaçao,22,Peru,20
Cyprus,18,Philippines,18
Denmark,18,Poland,26
Dominican Republic,19,Portugal,20
Ecuador,19,Puerto Rico,21
El Salvador,19,Singapore,18
Finland,28,Spain,20
France,21,Sri Lanka,19
Gambia,18,Swaziland,18
Germany,25,Sweden,22
Gibraltar,18,Switzerland,28
Greece,18,Tahiti,22
Guam,18,Thailand,19
Guatemala,19,Trinidad & Tobago,18
Holland,28,Turks & Caicos,18
Honduras,19,United Kingdom,35
Hong Kong,18,United States,34
Iceland,27,Uruguay,23
India,18,Venezuela,34
Ireland,32,Western Samoa,18
Isle of Man,18,Yugoslavia,25
