0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27
Year,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,2002,2003,2004,2005,Career
Tournaments played,16,20,24,17,21,20,23,24,23,18,17,15,17,17,12,16,16,13,14,12,13,15,1,0,5,1,390
Titles,0,1,4,2,6,11,10,11,10,15,16,13,12,14,4,9,8,6,5,4,5,1,0,0,0,0,167
Hardcourt Win-Loss,0-0,0-0,15-3,4-3,9-6,18-4,18-4,27-6,18-2,14-1,22-0,21-0,19-3,12-0,15-2,11-3,30-2,12-2,11-1,9-1,10-2,3-2,0-0,0-0,0-0,0-0,298-47
Clay Win-Loss,17-9,16-6,31-7,1-3,10-1,2-1,3-1,5-0,7-2,15-0,12-1,16-0,19-1,15-2,13-3,17-2,6-2,14-3,6-3,1-1,2-1,7-5,0-0,0-0,0-3,0-0,235-57
Grass Win-Loss,2-2,8-4,9-3,9-2,7-2,13-0,14-2,12-4,21-4,21-1,19-0,27-1,29-0,13-0,17-2,12-1,17-1,13-0,15-1,6-2,12-2,8-2,1-1,0-0,2-2,0-1,307-40
Carpet Win-Loss,4-5,7-9,31-8,25-7,37-8,47-4,60-6,40-5,42-4,40-1,33-0,18-1,17-1,49-1,11-1,30-1,20-3,13-2,21-4,22-4,22-3,15-5,0-0,0-0,0-0,0-0,604-83
Overall Win-Loss,23-16,31-19,86-21,39-15,63-17,80-9,95-13,84-15,88-12,90-3,86-1,82-2,84-5,89-3,56-8,70-7,73-8,52-7,53-9,38-8,46-8,33-14,1-1,0-0,2-5,0-1,1444-227
Win %,59.0%,62.0%,80.4%,72.2%,78.8%,89.9%,88.0%,85.7%,88.0%,96.8%,98.9%,97.6%,94.4%,96.7%,87.5%,90.9%,90.1%,88.1%,85.5%,82.6%,85.2%,70.2%,50.0%,00.0%,28.6%,00.0%,86.4%
Year End Ranking,N/A,N/A,4,4,3,1,1,3,3,1,1,1,1,1,2,2,2,3,4,5,3,8,NR,NR,376,NR,N/A
