0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29
1995-96 NBA Records,1995-96 NBA Records,1995-96 NBA Records,1995-96 NBA Records,1995-96 NBA Records,1995-96 NBA Records,1995-96 NBA Records,1995-96 NBA Records,1995-96 NBA Records,1995-96 NBA Records,1995-96 NBA Records,1995-96 NBA Records,1995-96 NBA Records,1995-96 NBA Records,1995-96 NBA Records,1995-96 NBA Records,1995-96 NBA Records,1995-96 NBA Records,1995-96 NBA Records,1995-96 NBA Records,1995-96 NBA Records,1995-96 NBA Records,1995-96 NBA Records,1995-96 NBA Records,1995-96 NBA Records,1995-96 NBA Records,1995-96 NBA Records,1995-96 NBA Records,1995-96 NBA Records,1995-96 NBA Records
Team,ATL,BOS,CHA,CHI,CLE,DAL,DEN,DET,GSW,HOU,IND,LAC,LAL,MIA,MIL,MIN,NJN,NYK,ORL,PHI,PHO,POR,SAC,SAS,SEA,TOR,UTA,VAN,WAS
Atlanta,—,4–0,3–1,0–4,3–1,1–1,1–1,2–2,1–1,1–1,1–3,2–0,0–2,2–2,2–2,1–1,4–0,2–1,2–2,2–1,0–2,2–0,2–0,0–2,0–2,4–0,1–1,2–0,1–3
Boston,0–4,—,2–2,0–3,1–3,0–2,1–1,2–1,0–2,1–1,0–4,2–0,0–2,3–1,3–1,2–0,2–2,0–4,1–3,4–0,1–1,0–2,2–0,0–2,0–2,3–1,0–2,1–1,2–2
Charlotte,1–3,2–2,—,1–3,3–1,2–0,2–0,1–3,0–2,0–2,1–3,1–1,2–0,2–2,3–1,1–1,0–3,3–0,0–4,3–1,2–0,1–1,1–1,0–2,0–2,3–1,1–1,2–0,3–1
Chicago,4–0,3–0,3–1,—,4–0,2–0,1–1,4–0,2–0,2–0,2–2,2–0,2–0,3–1,4–0,2–0,3–0,3–1,3–1,4–0,1–1,2–0,2–0,2–0,1–1,3–1,2–0,2–0,4–0
Cleveland,1–3,3–1,1–3,0–4,—,2–0,1–1,2–2,2–0,1–1,2–2,2–0,2–0,1–3,4–0,2–0,1–2,3–1,1–2,4–0,2–0,1–1,1–1,0–2,0–2,3–1,0–2,2–0,3–1
Dallas,1–1,2–0,0–2,0–2,0–2,—,2–2,0–2,2–2,1–3,0–2,2–2,0–4,0–2,1–1,0–4,1–1,0–2,1–1,0–2,1–3,0–4,2–2,2–2,2–2,1–1,1–3,4–0,0–2
Denver,1–1,1–1,0–2,1–1,1–1,2–2,—,1–1,2–2,1–3,0–2,1–3,2–2,0–2,1–1,4–0,0–2,1–1,1–1,2–0,3–1,0–4,0–4,0–4,1–3,2–0,3–1,3–1,1–1
Detroit,2–2,1–2,3–1,0–4,2–2,2–0,1–1,—,2–0,1–1,2–2,2–0,0–2,1–3,2–2,1–1,4–0,0–4,1–3,4–0,2–0,2–0,1–1,2–0,1–1,4–0,0–2,2–0,1–2
Golden State,1–1,2–0,2–0,0–2,0–2,2–2,2–2,0–2,—,2–2,1–1,3–1,1–3,1–1,1–1,3–1,2–0,0–2,0–2,2–0,1–3,1–3,1–3,1–3,0–4,1–1,1–3,4–0,1–1
Houston,1–1,1–1,2–0,0–2,1–1,3–1,3–1,1–1,2–2,—,2–0,4–0,3–1,0–2,2–0,2–2,2–0,0–2,0–2,2–0,3–1,2–2,2–2,1–3,0–4,2–0,2–2,4–0,1–1
Indiana,3–1,4–0,3–1,2–2,2–2,2–0,2–0,2–2,1–1,0–2,—,2–0,1–1,3–0,3–1,1–1,1–3,1–3,2–2,3–1,1–1,1–1,0–2,1–1,2–0,4–0,0–2,2–0,3–0
