0,1,2,3,4
Player,Born,Highest singles/doubles ranking,ITF titles in singles+doubles,Reason
{{flagicon|GER}} Kristina Barrois,30 September 1981,57/55,15+16,—
{{flagicon|AUS}} Bojana Bobusic,2 October 1987,222/187,1+3,ongoing foot problems
{{flagicon|ESP}} Eva Fernández Brugués,5 May 1986,185/336,7+2,—
{{flagicon|AUS}} Azra Hadzic,26 November 1994,301/512,1+0,—
{{flagicon|AUS}} Sacha Jones,8 November 1990,150/169,10+2,career change
{{flagicon|SRB}} Karolina Jovanović,13 February 1988,404/201,2+13,—
{{flagicon|FRA}} Anaïs Laurendon,15 April 1985,180/246,6+10,—
{{flagicon|CRO}} Ani Mijačika,15 June 1987,193/222,9+10,—
{{flagicon|HUN}} Kira Nagy,29 December 1977,122/96,18+10,—
{{flagicon|POR}} Frederica Piedade,5 June 1982,142/158,11+19,—
{{flagicon|SUI}} Amra Sadiković,6 May 1989,179/148,8+11,—
