0,1,2,3
Country,Score,Country,Score
American Virgin Islands,18,Japan,18
Aruba,19,Kenya,20
Australia,21,Korea,18
Austria,18,Lebanon,18
Bahamas,19,Liberia,18
Barbados,18,Luxembourg,18
Belgium,18,Malaysia,18
Bermuda,22,Malta,18
Bolivia,18,Mexico,18
Brazil,28,New Zealand,29
Canada,18,Nigeria,18
Cayman Islands,18,Norway,18
Chile,20,Panama,18
Colombia,23,Paraguay,32
Costa Rica,18,Peru,18
Curaçao,20,Philippines,18
Cyprus,18,Poland,32
Denmark,19,Portugal,18
Dominican Republic,18,Puerto Rico,29
Ecuador,18,St. Kitts & Nevis,18
El Salvador,18,St. Vincent & the Grenadines,18
Finland,26,Singapore,26
France,18,Spain,20
Gambia,18,Sri Lanka,18
Germany,20,Swaziland,19
Gibraltar,18,Sweden,28
Greece,18,Switzerland,31
Guam,22,Tahiti,18
Guatemala,18,Thailand,18
Holland,24,Trinidad & Tobago,19
Hong Kong,21,Turks & Caicos,18
Iceland,34,Uganda,18
India,24,United Kingdom,34
Ireland,27,United States,32
Isle of Man,23,Uruguay,19
Israel,33,Venezuela,36
Italy,22,Western Samoa,18
Ivory Coastl,22,Yugoslavia,21
Jamaica,32,Zaire,24
