0,1,2,3
Date,Show,Author,Production
08/28/1915,The Yellow Ticket,Michael Morton,A. H. Woods
09/06/1915,On Trial,Elmer L. Rice,Cohan & Harris
09/13/1915,Twin Beds,Salisbury Field and Margaret Mayo,"William H. Harris, Jr."
09/20/1915,It Pays to Advertise,Roi Cooper Megrue and Walter Hackett,Cohan & Harris
10/18/1915,Song of Songs,Edward Sheldon,A. H. Woods
10/25/1915,High Jinks,Otto Hauerbach,Arthur Hammerstein
11/22/1915,Cousin Lucy (Two Weeks),Charles Klein,A. H. Woods
12/07/1915,The Hawk,Francis De Croisset,
12/18/1915,The Birth of a Nation,D. W. Griffith,D. W. Griffith
12/27/1915,Young America,Fred Ballard,Cohan & Harris
01/03/1916,The Road to Happiness,Lawrence Whitman,Lee Shubert
01/17/1916,Marie Odile,Edward Knoblauch,David Belasco
01/24/1916,Beverly's Balance,Paul Kester,
02/14/1916,The Girl Who Smiles,Paul Hervé & Jean Briquet,
04/17/1916,Potash and Perlmutter in Society,Montague Glass,A. H. Woods
04/24/1916,The Lie,Margaret Illington,
05/01/1916,The House of Glass,Max Marcin,Cohan & Harris
05/08/1916,Madama Butterfly (in English),Giacomo Puccini,The Aborn Opera Company
05/11/1916,Martha (in English),Friedrich von Flotow,The Aborn Opera Company
05/12/1916,"Hansel and Gretel (in English, just one matinee)",Engelbert Humperdinck,The Aborn Opera Company
05/15/1916,Aida (in English),Giuseppe Verdi,The Aborn Opera Company
05/18/1916,Il Trovatore (in English),Giuseppe Verdi,The Aborn Opera Company
05/22/1916,Carmen (in English),Georges Bizet,The Aborn Opera Company
05/25/1916,The Tales of Hoffman (in English),Jacques Offenbach,The Aborn Opera Company
05/29/1916,"Hansel and Gretel (in English, one matinee)",Engelbert Humperdinck,The Aborn Opera Company
05/29/1916,Lucia di Lammermoor (in English),Gaetano Donizetti,The Aborn Opera Company
06/01/1916,Rigoletto,Giuseppe Verdi,The Aborn Opera Company
06/05/1916,Pagliacci & Cavalleria Rusticana,Leoncavallo & Mascagni,The Aborn Opera Company
06/08/1916,Faust,Charles Gounod,The Aborn Opera Company
06/12/1916,The Bohemian Girl,Alfred Bunn & Michael William Balfe,The Aborn Opera Company
