0,1,2,3
Medal,Name,Sport,Event
{{gold medal}},Novica Čanović,Image:Athletics pictogram.svg Athletics,High jump
{{gold medal}},Sejad Krdžalić,Image:Athletics pictogram.svg Athletics,Javelin throw
{{gold medal}},Slobodanka Čolović,Image:Athletics pictogram.svg Athletics,800m
{{gold medal}},Amra Temim,Image:Athletics pictogram.svg Athletics,High jump
{{gold medal}},Kristina Jazbinšek,Image:Athletics pictogram.svg Athletics,Javelin throw
{{gold medal}},Vučić Dobrašinović,Image:Boxing pictogram.svg Boxing,Welterweight
{{gold medal}},Agim Ljatifi,Image:Boxing pictogram.svg Boxing,Light Welterweight
{{gold medal}},Damir Škaro,Image:Boxing pictogram.svg Boxing,Light Heavyweight
{{gold medal}},Azis Salihu,Image:Boxing pictogram.svg Boxing,Heavyweight (+91)
{{gold medal}},Nandor Sabo,Image:Wrestling pictogram.svg Wrestling,Greco-Roman 68kg
{{gold medal}},Franc Podlesek,Image:Wrestling pictogram.svg Wrestling,Greco-Roman 74kg
{{gold medal}},Emil Trauber,Image:Wrestling pictogram.svg Wrestling,Greco-Roman 100kg
{{gold medal}},Šaban Trstena,Image:Wrestling pictogram.svg Wrestling,Men's Freestyle 57kg
{{gold medal}},Zoran Primorac,Image:Table tennis pictogram.svg Table tennis,Men's Singles
{{gold medal}},"Ilija Lupulesku, Zoran Primorac",Image:Table tennis pictogram.svg Table tennis,Men's Doubles
{{gold medal}},"Ilija Lupulesku, Jasna Fazlić",Image:Table tennis pictogram.svg Table tennis,Mixed Doubles
{{gold medal}},Mirjana Jovović,Image:Shooting pictogram.svg Shooting,
{{silver medal}},Ismail Mačev,Image:Athletics pictogram.svg Athletics,400m
{{silver medal}},Jovan Lazarević,Image:Athletics pictogram.svg Athletics,Shot put
{{silver medal}},Ivan Mustapić,Image:Athletics pictogram.svg Athletics,Javelin
{{silver medal}},Kornelija Šinković,Image:Athletics pictogram.svg Athletics,100m
{{silver medal}},Kornelija Šinković,Image:Athletics pictogram.svg Athletics,200m
{{silver medal}},Snežana Pajkić,Image:Athletics pictogram.svg Athletics,800m
{{silver medal}},Goran Kabić,Image:Athletics pictogram.svg Athletics,Decathlon
{{silver medal}},Biljana Petrović,Image:Athletics pictogram.svg Athletics,High jump
{{silver medal}},Marina Mihajlova,Image:Athletics pictogram.svg Athletics,Heptathlon
{{silver medal}},Dragan Živadinović,Image:Boxing pictogram.svg Boxing,Light Flyweight
{{silver medal}},Fatmir Makoli,Image:Boxing pictogram.svg Boxing,Light Middleweight
{{silver medal}},Jasna Fazlić,Image:Table tennis pictogram.svg Table tennis,Women's Singles
{{silver medal}},"Jasna Fazlić, Polona Frelih",Image:Table tennis pictogram.svg Table tennis,Women's Doubles
{{silver medal}},"Zoran Kalinić, Fatima Isanović",Image:Table tennis pictogram.svg Table tennis,Mixed Doubles
{{silver medal}},Mirko Dimčevski,Image:Wrestling pictogram.svg Wrestling,Men's Freestyle 48kg
{{silver medal}},Abas Emini,Image:Wrestling pictogram.svg Wrestling,Men's Freestyle 52kg
