0,1,2,3,4
"New Hampshire Democratic presidential primary, 2008","New Hampshire Democratic presidential primary, 2008","New Hampshire Democratic presidential primary, 2008","New Hampshire Democratic presidential primary, 2008","New Hampshire Democratic presidential primary, 2008"
Candidate,Results,Results,Results,Estimated national delegates
Candidate,Votes,Percentage,National delegates,Estimated national delegates
Hillary Clinton,"112,404",39.09%,9,9
Barack Obama,"104,815",36.45%,9,13
John Edwards,"48,699",16.94%,4,0
Bill Richardson,"13,239",4.6%,0,0
Dennis Kucinich,"3,891",1.35%,0,0
Joe Biden,638,0.22%,0,0
Mike Gravel,404,0.14%,0,0
Total,"287,557",100%,22,22
