0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29
1997-98 NBA Records,1997-98 NBA Records,1997-98 NBA Records,1997-98 NBA Records,1997-98 NBA Records,1997-98 NBA Records,1997-98 NBA Records,1997-98 NBA Records,1997-98 NBA Records,1997-98 NBA Records,1997-98 NBA Records,1997-98 NBA Records,1997-98 NBA Records,1997-98 NBA Records,1997-98 NBA Records,1997-98 NBA Records,1997-98 NBA Records,1997-98 NBA Records,1997-98 NBA Records,1997-98 NBA Records,1997-98 NBA Records,1997-98 NBA Records,1997-98 NBA Records,1997-98 NBA Records,1997-98 NBA Records,1997-98 NBA Records,1997-98 NBA Records,1997-98 NBA Records,1997-98 NBA Records,1997-98 NBA Records
Team,ATL,BOS,CHA,CHI,CLE,DAL,DEN,DET,GSW,HOU,IND,LAC,LAL,MIA,MIL,MIN,NJN,NYK,ORL,PHI,PHO,POR,SAC,SAS,SEA,TOR,UTA,VAN,WAS
Golden State,0–2,1–1,1–1,0–2,0–2,3–1,3–1,0–2,—,1–3,0–2,1–3,1–3,0–2,0–2,0–4,0–2,1–1,1–1,0–2,0–4,1–3,2–2,1–3,1–3,0–2,0–4,1–3,0–2
Houston,1–1,1–1,0–2,0–2,1–1,4–0,4–0,1–1,3–1,—,1–1,4–0,1–3,0–2,1–1,1–3,1–1,1–1,0–2,1–1,1–3,1–3,4–0,2–2,1–3,2–0,0–4,3–1,1–1
Indiana,3–1,4–0,1–3,2–2,2–2,1–1,2–0,3–1,2–0,1–1,—,2–0,0–2,3–1,4–0,2–0,2–1,2–1,3–1,4–0,1–1,1–1,2–0,0–2,0–2,4–0,1–1,2–0,4–0
L.A. Clippers,0–2,0–2,0–2,0–2,0–2,3–1,2–2,0–2,3–1,0–4,0–2,—,0–4,0–2,0–2,0–4,1–1,0–2,0–2,1–1,0–4,0–4,3–1,1–3,0–4,1–1,1–3,1–3,0–2
L.A. Lakers,2–0,1–1,1–1,1–1,1–1,4–0,4–0,2–0,3–1,3–1,2–0,4–0,—,1–1,2–0,4–0,1–1,1–1,1–1,0–2,2–2,2–2,4–0,4–0,1–3,2–0,3–1,4–0,1–1
Miami,3–1,4–0,1–3,1–2,3–1,2–0,2–0,2–1,2–0,2–0,1–3,2–0,1–1,—,3–1,1–1,3–1,2–2,3–1,4–0,0–2,2–0,2–0,0–2,0–2,4–0,1–1,2–0,2–2
Milwaukee,1–3,2–2,1–3,0–4,2–2,2–0,2–0,2–2,2–0,1–1,0–4,2–0,0–2,1–3,—,1–1,0–4,3–1,2–1,2–2,0–2,2–0,2–0,0–2,1–1,3–1,0–2,1–1,1–2
Minnesota,2–0,1–1,1–1,1–1,0–2,2–2,3–1,2–0,4–0,3–1,0–2,4–0,0–4,1–1,1–1,—,2–0,1–1,0–2,2–0,3–1,1–3,3–1,1–3,1–3,1–1,1–3,4–0,0–2
New Jersey,2–1,2–2,2–2,0–4,1–3,2–0,2–0,2–2,2–0,1–1,1–2,1–1,1–1,1–3,4–0,0–2,—,2–2,3–1,3–1,1–1,1–1,2–0,1–1,0–2,3–1,0–2,2–0,1–3
New York,2–2,2–2,3–1,0–4,2–1,1–1,2–0,2–2,1–1,1–1,1–2,2–0,1–1,2–2,1–3,1–1,2–2,—,4–0,2–2,2–0,1–1,1–1,0–2,1–1,3–1,0–2,2–0,1–3
Orlando,2–2,2–2,1–3,1–3,2–2,2–0,2–0,2–1,1–1,2–0,1–3,2–0,1–1,1–3,1–2,2–0,1–3,0–4,—,4–0,0–2,2–0,0–2,0–2,1–1,3–1,0–2,2–0,3–1
Philadelphia,1–3,1–3,1–2,1–2,1–3,2–0,2–0,1–3,2–0,1–1,0–4,1–1,2–0,0–4,2–2,0–2,1–3,2–2,0–4,—,1–1,1–1,1–1,0–2,0–2,2–2,0–2,2–0,3–1
Phoenix,2–0,2–0,1–1,1–1,0–2,4–0,4–0,1–1,4–0,3–1,1–1,4–0,2–2,2–0,2–0,1–3,1–1,0–2,2–0,1–1,—,2–2,3–1,3–1,2–2,2–0,1–3,4–0,1–1
Portland,1–1,1–1,0–2,1–1,1–1,4–0,2–2,2–0,3–1,3–1,1–1,4–0,2–2,0–2,0–2,3–1,1–1,1–1,0–2,1–1,2–2,—,3–1,2–2,0–4,2–0,3–1,2–2,1–1
Sacramento,0–2,1–1,1–1,0–2,0–2,4–0,3–1,1–1,2–2,0–4,0–2,1–3,0–4,0–2,0–2,1–3,0–2,1–1,2–0,1–1,1–3,1–3,—,0–4,1–3,1–1,2–2,2–2,1–1
San Antonio,1–1,2–0,1–1,0–2,2–0,4–0,4–0,1–1,3–1,2–2,2–0,3–1,0–4,2–0,2–0,3–1,1–1,2–0,2–0,2–0,1–3,2–2,4–0,—,2–2,2–0,1–3,4–0,1–1
Seattle,1–1,1–1,1–1,1–1,2–0,2–2,4–0,2–0,3–1,3–1,2–0,4–0,3–1,2–0,1–1,3–1,2–0,1–1,1–1,2–0,2–2,4–0,3–1,2–2,—,2–0,2–2,4–0,1–1
Toronto,0–4,0–3,0–4,0–4,1–3,1–1,2–0,0–4,2–0,0–2,0–4,1–1,0–2,0–4,1–3,1–1,1–3,1–3,1–3,2–2,0–2,0–2,1–1,0–2,0–2,—,0–2,1–1,0–3
Utah,2–0,2–0,1–1,2–0,1–1,4–0,4–0,2–0,4–0,4–0,1–1,3–1,1–3,1–1,2–0,3–1,2–0,2–0,2–0,2–0,3–1,1–3,2–2,3–1,2–2,2–0,—,4–0,0–2
Vancouver,0–2,0–2,0–2,0–2,0–2,0–4,3–1,2–0,3–1,1–3,0–2,3–1,0–4,0–2,1–1,0–4,0–2,0–2,0–2,0–2,0–4,2–2,2–2,0–4,0–4,1–1,0–4,—,1–1
Washington,0–4,2–3,2–2,1–3,2–1,1–1,1–1,2–2,2–0,1–1,0–4,2–0,1–1,2–2,2–1,2–0,3–1,3–1,1–3,1–3,1–1,1–1,1–1,1–1,1–1,3–0,2–0,1–1,—
