0,1,2,3,4,5
International appearances,International appearances,International appearances,International appearances,International appearances,International appearances
#,Date,Venue,Opponent,Result,Competition
1.,22 February 2012,"Ciudad Nezahualcóyotl, Mexico",{{flagicon|MEX}} Toros Neza,4-2,Friendly
2.,29 February 2012,"Pizza Hut Park, Dallas, Texas, United States",{{fb|USA}},0-2,Friendly
3.,17 March 2012,"AT&T Park, San Francisco, United States",{{fb|SEN}},2-1,Friendly
4.,23 March 2012,"Carson, United States",{{fbu|23|Trinidad and Tobago}},1–7,2012 CONCACAF Men's Olympic Qualifying Tournament
5.,25 March 2012,"Carson, United States",{{fbu|23|Honduras}},3-0,2012 CONCACAF Men's Olympic Qualifying Tournament
6.,31 March 2012,"Livestrong Sporting Park, Kansas City, United States",{{fb|CAN}},3–1,2012 CONCACAF Men's Olympic Qualifying Tournament
7.,2 April 2012,"Livestrong Sporting Park, Kansas City, United States",{{fb|HON}},2–1,2012 CONCACAF Men's Olympic Qualifying Tournament
8.,24 May 2012,"Aubagne, France",{{fbu|23|Morocco}},4–3,2012 Toulon Tournament
9.,26 May 2012,"Nice, France",{{fbu|20|France}},3–1,2012 Toulon Tournament
10.,28 May 2012,"Le Lavandou, France",{{fbu|23|Belarus}},1–2,2012 Toulon Tournament
11.,30 May 2012,"Avignon, France",{{fbu|21|Netherlands}},4–2,2012 Toulon Tournament
12.,1 June 2012,"Hyères, France",{{fbu|21|Turkey}},0–3,"2012 Toulon Tournament{{col-end}}{{Asof|2013|3|8}} Club performance League Cup Continental Total Season Club League Apps Goals Apps Goals Apps Goals Apps Goals Mexico League Cup North America Total2009–10TigresPrimera División40--30702010–11153--001532011–12282--223042012–13143--54197 Total Mexico618--1077114He attended the Escuela Primaria ""Ford 74"" from 1997 to 2003 in Ciudad Victoria, Tamaulipas.Goals for competitive matches only # Date Venue Opponent Score Result Competition 1. 23 March 2012 Carson, United States {{fbu|23|Trinidad and Tobago}} 0–1 1–7 2012 CONCACAF Men's Olympic Qualifying Tournament 2. 25 March 2012 Carson, United States {{fbu|23|Honduras}} 1-0 3–0 2012 CONCACAF Men's Olympic Qualifying Tournament 3. 25 March 2012 Carson, United States {{fbu|23|Honduras}} 2-0 3–0 2012 CONCACAF Men's Olympic Qualifying Tournament 4. 25 March 2012 Carson, United States {{fbu|23|Honduras}} 3-0 3–0 2012 CONCACAF Men's Olympic Qualifying Tournament 5. 31 March 2012 Kansas City, United States {{fbu|23|Canada}} 2–0 3–1 2012 CONCACAF Men's Olympic Qualifying Tournament 6. 1 June 2012 Hyères, France {{fbu|21|Turkey}} 0–3 0–3 2012 Toulon Tournament{{Empty section|date=January 2013}}{{flagicon|Mexico}} Mexico
CONCACAF Men's Olympic Qualifying Tournament: 5 goals 2012 CONCACAF Men's Olympic Qualifying TournamentTigres UANL
SuperLiga:
Winner (1): 2009
Primera División de México:
Winner (1): Apertura 2011Mexico
CONCACAF U-20 Championship
Winner (1): 2011
FIFA U-20 World Cup
3rd Place (1): 2011
CONCACAF Men's Olympic Qualifying Tournament
Winner (1): 2012 CONCACAF Men's Olympic Qualifying Tournament
Toulon Tournament:
Winner (1): 2012 Toulon Tournament{{Reflist}}
Transfermarkt profile
{{Medio Tiempo|alan-pulido}}
{{Navboxes colour|title=Mexico squads|bg = #016549|fg = White|bordercolor =#CE1126|list1={{Mexico Squad 2011 CONCACAF U-20 Championship}}{{Mexico Squad 2011 FIFA U20 World Cup}}{{Mexico Squad 2011 Copa América}}}}{{Tigres de la UANL squad}}{{Persondata| NAME = Pulido, Alan| ALTERNATIVE NAMES =| SHORT DESCRIPTION = Mexican footballer| DATE OF BIRTH = 8 March 1991| PLACE OF BIRTH = [[Ciudad Victoria]], [[Tamaulipas]], Mexico| DATE OF DEATH =| PLACE OF DEATH =}}{{DEFAULTSORT:Pulido, Alan}}Category:Articles created via the Article WizardCategory:1991 birthsCategory:Living peopleCategory:People from TamaulipasCategory:Mexican footballersCategory:Mexican people of Basque descentCategory:Tigres de la UANL footballersCategory:Liga MX footballersCategory:2011 Copa América playersCategory:Association football forwardsCategory:Mexico youth international footballers"
