"(0, 0)","(1, 1)","(2, 2)","(3, 3)"
1,Jamie McMurray,Chip Ganassi Racing,Chevrolet
2,Brad Keselowski,Team Penske,Ford
3,Austin Dillon,Richard Childress Racing,Chevrolet
4,Kevin Harvick,Stewart-Haas Racing,Ford
10,Danica Patrick,Stewart-Haas Racing,Ford
11,Denny Hamlin,Joe Gibbs Racing,Toyota
18,Kyle Busch,Joe Gibbs Racing,Toyota
19,Daniel Suárez (R),Joe Gibbs Racing,Toyota
20,Matt Kenseth,Joe Gibbs Racing,Toyota
22,Joey Logano,Team Penske,Ford
24,Chase Elliott,Hendrick Motorsports,Chevrolet
37,Chris Buescher,JTG Daugherty Racing,Chevrolet
41,Kurt Busch,Stewart-Haas Racing,Ford
42,Kyle Larson,Chip Ganassi Racing,Chevrolet
48,Jimmie Johnson,Hendrick Motorsports,Chevrolet
78,Martin Truex Jr.,Furniture Row Racing,Toyota
Official entry list,Official entry list,Official entry list,Official entry list
