"(0, 0)","(1, 1)","(2, 2)"
Train No.,Train Name,Train Type
12180,Agra Cantt.-Lucknow Jn. Intercity Express,Superfast Express
12312,Kalka Mail,Superfast Mail Express
12419,Gomti Express,Superfast Expresss
12420,Gomti Express,Superfast Express
13007,Udyan Abha Toofan Express,Mail Express
13008,Udyan Abha Toofan Express,Mail Express
14163,Sangam Express,Mail Express
14164,Sangam Express,Mail Express
14217,Unchahar Express,Mail Express
14218,Unchahar Express,Mail Express
15483,Sikkim Mahananda Express,Mail Express
15484,Sikkim Mahananda Express,Mail Express
18101,TATA MURI -HTE - JAT EXPRESS,Mail Express
18102,Jat Muri Tata Express,Mail Express
19037,Avadh Express,Mail Express
19038,Avadh Express,Mail Express
19039,Avadh Express,Mail Express
19040,Avadh Express,Mail Express
64153,CNB-ETW MEMU,MEMU
64156,ETW-CNB MEMU,MEMU
64161,PHD-SKB MEMU,MEMU
64162,PHD-CNB MEMU,MEMU
64587,CNB-TDL MEMU,MEMU
64588,TDL-CNB MEMU,MEMU
64590,PHD-CNB MEMU,MEMU
64159,CNB-PHD MEMU,MEMU
64589,CNB-PHD MEMU,MEMU
64164,SKB-PHD MEMU,MEMU
